Province;River_basin;County;Station
Barcelona;Riu Foix;Alt Penedès;Reservoir of Foix (Castellet i la Gornal)
Barcelona;Riu Llobregat;Berguedà;Reservoir of la Baells (Cercs)
Barcelona;Riu Ter;Osona;Reservoir of Sau (Vilanova de Sau)
Girona;Riu Ter;La Selva;Reservoir of Susqueda (Osor)
Lleida;Riu Cardener;Solsonès;Reservoir of la Llosa del Cavall (Navàs)
Lleida;Riu Cardener;Solsonès;Reservoir of Sant Ponç (Clariana de Cardener)
Tarragona;Riera Riudecanyes;Baix Camp;Reservoir of Riudecanyes
Tarragona;Riu Siurana;Priorat;Reservoir of Siurana (Cornudella de Montsant)
