Day;Station;Absolute_level;Percentage_volume_stored;volume_stored;County;River_basin;Province;lat;long;Group;Uncertainty;MeanLong;MeanLong
2025-01-03T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona;41.254525;0.9125953;ZZ;0.0003902990306592777;0.9126853;41.254475
2025-01-03T00:00:00.000;Reservoir of Susqueda (Osor);316;36.3;84.57;La Selva;Riu Ter;Girona;41.9787375;2.4526494;AA;0.00010341394705034961;2.452817733333333;41.978719166666664
2025-01-04T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.3;17.6;10.77;Alt Empordà;Riu Muga;Girona;42.3451727;2.7714115;XX;0.0039407063664609575;2.7730615000000003;42.3466727
2025-01-04T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.22;95.2;3.56;Alt Penedès;Riu Foix;Barcelona;41.2559333;1.6496473;BB;0.0001596997182217202;1.6495473;41.2558573
2025-01-04T00:00:00.000;Reservoir of la Baells (Cercs);615.5;59;64.55;Berguedà;Riu Llobregat;Barcelona;42.1488457;1.8544644;CC;0.00008997777503318473;1.8545243999999996;42.1488177
2025-01-04T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.75;35.1;28.09;Solsonès;Riu Cardener;Lleida;42.1189975;1.5881915;YY;0.0003628590176170624;1.5883415;42.118747500000005
2025-01-04T00:00:00.000;Reservoir of Riudecanyes;205.21;23.3;1.24;Baix Camp;Riera Riudecanyes;Tarragona;41.1376002;0.9312687;DD;0.000019798989873514532;0.9312767000000001;41.1376182
2025-01-04T00:00:00.000;Reservoir of Sant Ponç (Clariana de Cardener);519.83;51;12.42;Solsonès;Riu Cardener;Lleida;41.982855;1.570083;EE;0.000001788854381058258;1.5700832000000002;41.982853399999996
2025-01-04T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.71;15.5;25.55;Osona;Riu Ter;Barcelona;41.9764531;2.3690189;FF;0.000008337865434244848;2.3690227;41.97645630000001
2025-01-04T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona;41.254525;0.9129953;ZZ;0.0003902990306592777;0.9126853;41.254475
2025-01-04T00:00:00.000;Reservoir of Susqueda (Osor);316.01;36.3;84.62;La Selva;Riu Ter;Girona;41.9787275;2.4528494;AA;0.00010341394705034961;2.452817733333333;41.978719166666664
2025-01-05T00:00:00.000;Reservoir of Darnius Boadella (Darnius);136.28;17.6;10.75;Alt Empordà;Riu Muga;Girona;42.3461727;2.7713115;XX;0.0039407063664609575;2.7730615000000003;42.3466727
2025-01-05T00:00:00.000;Reservoir of Foix (Castellet i la Gornal);100.22;95.2;3.56;Alt Penedès;Riu Foix;Barcelona;41.2558333;1.6492473;BB;0.0001596997182217202;1.6495473;41.2558573
2025-01-05T00:00:00.000;Reservoir of la Baells (Cercs);615.46;58.9;64.45;Berguedà;Riu Llobregat;Barcelona;42.1487357;1.8544644;CC;0.00008997777503318473;1.8545243999999996;42.1488177
2025-01-05T00:00:00.000;Reservoir of la Llosa del Cavall (Navàs);780.73;35.1;28.07;Solsonès;Riu Cardener;Lleida;42.1186975;1.5883915;YY;0.0003628590176170624;1.5883415;42.118747500000005
2025-01-05T00:00:00.000;Reservoir of Riudecanyes;205.22;23.3;1.24;Baix Camp;Riera Riudecanyes;Tarragona;41.1376502;0.9312787;DD;0.000019798989873514532;0.9312767000000001;41.1376182
2025-01-05T00:00:00.000;Reservoir of Sant Ponç (Clariana de Cardener);519.86;51.1;12.45;Solsonès;Riu Cardener;Lleida;41.982856;1.570083;EE;0.000001788854381058258;1.5700832000000002;41.982853399999996
2025-01-05T00:00:00.000;Reservoir of Sau (Vilanova de Sau);387.61;15.3;25.35;Osona;Riu Ter;Barcelona;41.9764571;2.3690389;FF;0.000008337865434244848;2.3690227;41.97645630000001
2025-01-05T00:00:00.000;Reservoir of Siurana (Cornudella de Montsant);460.18;9.7;1.18;Priorat;Riu Siurana;Tarragona;41.254525;0.9128353;ZZ;0.0003902990306592777;0.9126853;41.254475
2025-01-05T00:00:00.000;Reservoir of Susqueda (Osor);316.05;36.4;84.72;La Selva;Riu Ter;Girona;41.9787375;2.4529594;AA;0.00010341394705034961;2.452817733333333;41.978719166666664
