ID_GRAFIC,Provincia,Estadillo,Poligon,MAPX,MAPY,Parcela
1052,17,2465,2483018,3.010577747,41.85571786,172465
1053,17,2470,2231008,2.842296708,41.84627893,172470
1054,17,2471,2230982,2.914100296,41.84722874,172471
1055,17,2476,2483018,3.02341724,41.84696125,172476
1056,17,2481,2231163,2.962349831,41.83786949,172481
1057,17,2484,2483018,3.022956311,41.8380535,172484
1058,17,2485,2230108,3.035012583,41.83804145,172485
1059,17,2486,2233158,3.047406021,41.83793793,172486
1060,17,2487,2483018,3.059606761,41.83788721,172487
1061,17,2491,2207205,3.216121386,41.9702436,172491
1062,17,2498,2488229,3.180196231,41.95472398,172498
1063,17,2502,2213030,3.155982741,41.94618501,172502
1064,17,2507,2213238,3.203893859,41.92811442,172507
1065,17,2508,2213238,3.191780837,41.91884929,172508
1066,17,2509,2213238,3.20386381,41.91867536,172509
1067,17,2511,2221277,3.155209292,41.90085491,172511
1068,17,2515,2224801,3.155384421,41.87362699,172515
1069,17,2519,2231761,2.348602923,41.82719283,172519
1070,17,2520,2468702,2.361513675,41.82703115,172520
1071,17,2522,2468699,2.384704057,41.82731083,172522
1072,17,2524,2468877,2.409388933,41.82747644,172524
1073,17,2527,2234369,2.44553343,41.828188,172527
1074,17,2529,2236589,2.34863446,41.8181411,172529
1075,17,2534,2468827,2.433261705,41.81869789,172534
1076,17,2536,2468671,2.457419753,41.81813902,172536
1077,17,2537,2468671,2.469141485,41.81882428,172537
1078,17,2541,2238561,2.445320031,41.80965977,172541
1079,17,2542,2468951,2.456877243,41.80966996,172542
1080,17,2543,2468958,2.469481515,41.80971986,172543
1081,17,2547,2468804,2.445012898,41.79223888,172547
1082,17,2549,2468947,2.469519455,41.79198537,172549
1083,17,2555,2235379,2.553899049,41.82866899,172555
1084,17,2559,2235968,2.601275995,41.82834784,172559
1085,17,2560,2464336,2.613580404,41.82883123,172560
1086,17,2561,2236334,2.625718356,41.8289795,172561
1087,17,2566,2235805,2.745795305,41.82871354,172566
1088,17,2567,2464792,2.480757008,41.81927367,172567
1089,17,2568,2237428,2.493607985,41.81881765,172568
1090,17,2572,2237619,2.565477336,41.81894988,172572
1091,17,2573,2465070,2.576915699,41.81898357,172573
1092,17,2576,2236650,2.614140638,41.81976314,172576
1093,17,2580,2237579,2.686542845,41.8195602,172580
1094,17,2582,2237482,2.783265591,41.81974739,172582
1095,17,2584,2239369,2.4811825,41.80981833,172584
1096,17,2587,2239476,2.517283319,41.81032698,172587
1097,17,2588,2239379,2.541471006,41.81013785,172588
1098,17,2589,2464688,2.565680664,41.81024094,172589
1099,17,2592,2464664,2.601866984,41.81070532,172592
1100,17,2594,2464665,2.626183617,41.81110226,172594
1101,17,2596,2238275,2.771015188,41.81098688,172596
1102,17,2598,2238512,2.794854407,41.81045548,172598
1103,17,2599,2237543,2.807002805,41.81012526,172599
1104,17,2602,2239572,2.505457624,41.80137782,172602
1105,17,2606,2464614,2.578162142,41.80151469,172606
1106,17,2608,2464621,2.601721123,41.80121149,172608
1107,17,2609,2465109,2.613792504,41.80154993,172609
1108,17,2611,2463786,2.650337758,41.80158592,172611
1109,17,2612,2463950,2.662435559,41.80154104,172612
1110,17,2616,2240663,2.746058862,41.80163023,172616
1111,17,2618,2241748,2.494512228,41.79109829,172618
1112,17,2619,2241190,2.505084676,41.79196396,172619
1113,17,2624,2464618,2.589246481,41.79241279,172624
1114,17,2625,2464617,2.601665888,41.79263667,172625
1115,17,2627,2463786,2.649581904,41.79228842,172627
1116,17,2628,2463787,2.661528699,41.79316189,172628
1117,17,2629,2463787,2.674024144,41.79271165,172629
1118,17,2631,2240663,2.734598708,41.79301167,172631
1119,17,2633,2464519,2.482001826,41.78282821,172633
1120,17,2634,2241748,2.506032455,41.78295206,172634
1121,17,2635,2464868,2.518344058,41.7828242,172635
1122,17,2637,2242558,2.542057595,41.78355166,172637
1123,17,2638,2243206,2.553287374,41.78325361,172638
1124,17,2639,2464425,2.565643897,41.78359822,172639
1125,17,2643,2242576,2.613972013,41.7836717,172643
1126,17,2646,2243741,2.661768379,41.78420065,172646
1127,17,2647,2242849,2.67399825,41.78356949,172647
1128,17,2649,2464519,2.493611245,41.77406214,172649
1129,17,2651,2243279,2.51722747,41.77446104,172651
1130,17,2655,2244447,2.577703196,41.77423989,172655
1131,17,2661,2463793,2.649882263,41.77468968,172661
1132,17,2662,2463871,2.661986567,41.77473494,172662
1133,17,2663,2244801,2.686375296,41.77491219,172663
1134,17,2666,2464564,2.529980123,41.76478636,172666
1135,17,2668,2246317,2.553439157,41.76484391,172668
1136,17,2673,2246070,2.614371331,41.76522671,172673
1137,17,2676,2462839,2.67404147,41.76552858,172676
1138,17,2678,2246336,2.782762031,41.76564147,172678
1139,17,2679,2463767,2.79459977,41.76578033,172679
1140,17,2682,2247495,2.566416811,41.75639099,172682
1141,17,2685,2464532,2.602071007,41.75631285,172685
1142,17,2688,2247795,2.650079154,41.75617185,172688
1143,17,2690,2248360,2.674326804,41.75668449,172690
1144,17,2691,2247515,2.686366824,41.75688912,172691
1145,17,2692,2247762,2.698170022,41.75630825,172692
1146,17,2693,2248118,2.722551217,41.75663992,172693
1147,17,2696,2464478,2.529822102,41.74687977,172696
1148,17,2698,2465463,2.578001411,41.74709384,172698
1149,17,2701,2462852,2.686027113,41.74761094,172701
1150,17,2704,2248412,2.758960736,41.74758893,172704
1151,17,2705,2248671,2.771085958,41.74710933,172705
1152,17,2713,2462963,2.74623673,41.73820319,172713
1153,17,2715,2250225,2.770131249,41.73827149,172715
1154,17,2720,2462494,2.77093891,41.72079936,172720
1155,17,2721,2462494,2.783526362,41.72076972,172721
1156,17,2723,2462494,2.77067284,41.71109818,172723
1157,17,2724,2462506,2.782498715,41.71177869,172724
1158,17,2725,2462512,2.795111136,41.71090115,172725
1159,17,2726,2462526,2.807419945,41.71094946,172726
1160,17,2728,2463172,2.795582455,41.70251636,172728
1161,17,2729,2463171,2.807421225,41.70246475,172729
1162,17,2733,2235769,2.926829567,41.82898053,172733
1163,17,2735,2231163,2.950999031,41.82884927,172735
1164,17,2736,2466870,2.974794987,41.82895603,172736
1164,17,2737,2466870,2.974794987,41.82895603,172737
1165,17,2738,2467707,2.985501187,41.82721954,172738
1166,17,2741,2235315,3.071834146,41.82936867,172741
1167,17,2743,2466646,2.830466371,41.81942144,172743
1168,17,2744,2467308,2.842783716,41.81955605,172744
1169,17,2747,2466826,2.915051523,41.82020867,172747
1170,17,2749,2237476,2.938832565,41.81990855,172749
1171,17,2750,2467353,2.951150579,41.8195902,172750
1172,17,2755,2466641,2.818426232,41.81068431,172755
1173,17,2762,15235049,2.953360667,41.81045806,172762
1174,17,2763,2239056,2.96319627,41.81100205,172763
1175,17,2766,2467260,2.842393396,41.80195591,172766
1176,17,2768,2466700,2.878470355,41.80160343,172768
1177,17,2769,2466699,2.890206803,41.80161525,172769
1178,17,2773,15235049,2.950646164,41.80221555,172773
1179,17,2777,2240886,3.010917882,41.80133394,172777
1180,17,2779,2467137,3.035064859,41.80141017,172779
1181,17,2782,2467267,2.830896007,41.79340995,172782
1182,17,2783,2466623,2.842763024,41.7935529,172783
1183,17,2784,2466708,2.85482454,41.79286623,172784
1184,17,2785,2466707,2.866498738,41.79310556,172785
1185,17,2786,2489363,2.878619184,41.79290284,172786
1186,17,2788,2467588,2.902691424,41.79244838,172788
1187,17,2791,2467371,2.950280305,41.79276706,172791
1188,17,2792,2467371,2.96217179,41.79249237,172792
1189,17,2793,2242385,2.974929485,41.79287416,172793
1190,17,2794,2467650,2.986676442,41.79266896,172794
1191,17,2795,2240886,3.010651636,41.79273229,172795
1192,17,2799,2466623,2.842329697,41.78374369,172799
1193,17,2800,2467294,2.854098871,41.78380427,172800
1194,17,2801,2243916,2.866686796,41.78366645,172801
1195,17,2805,2467590,2.914774603,41.7838563,172805
1196,17,2808,2467381,2.950732414,41.78390437,172808
1197,17,2811,2467211,2.986425533,41.78394115,172811
1198,17,2814,2467252,2.818442994,41.77489056,172814
1199,17,2816,2244201,2.84280947,41.77453918,172816
1200,17,2817,2467294,2.854685212,41.77461786,172817
1201,17,2818,2467283,2.866897296,41.77498393,172818
1202,17,2824,2467584,2.951292846,41.77483454,172824
1203,17,2827,2467211,2.986752246,41.7752314,172827
1204,17,2828,2467212,2.999253991,41.77484486,172828
1205,17,2830,2467140,3.023018019,41.77494164,172830
1206,17,2831,2467253,2.818636793,41.76589285,172831
1207,17,2832,2467273,2.830714927,41.76616348,172832
1208,17,2833,2467271,2.842374029,41.76563964,172833
1209,17,2835,2467306,2.86683237,41.76565258,172835
1210,17,2839,2466986,2.914654305,41.76567103,172839
1211,17,2840,2466968,2.926673105,41.76554423,172840
1212,17,2844,2467214,2.987066914,41.76615235,172844
1213,17,2845,2467216,2.998820981,41.76632421,172845
1214,17,2846,2467305,2.842768198,41.75694839,172846
1215,17,2848,2247787,2.866790007,41.75705081,172848
1216,17,2851,2466947,2.915123198,41.75677242,172851
1217,17,2853,2466756,2.950933445,41.75698244,172853
1218,17,2856,2467297,2.841745392,41.74729142,172856
1219,17,2857,2467302,2.855346353,41.74811998,172857
1220,17,2860,2466948,2.890310327,41.74794251,172860
1221,17,2864,2467497,2.938504425,41.74751905,172864
1222,17,2865,2467835,2.830738303,41.7389532,172865
