name;addresses_road_name;addresses_neighborhood_name;addresses_district_name;addresses_zip_code;url;imatge;geometry/type;geometry/coordinates_0;geometry/coordinates_1;coord0;coord01
Carpí del Jardí Botànic Històric;Avinguda de l'Estadi,37;el Poble-sec;Sants-Montjuíc;08038;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/carpi-del-jardi-botanic-historic_99400455031.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061051560054-03-94_1.optimized.0b9ce632.jpg;Point;429077.1388;4579847.334;42.90771388;45.79847334
Araucaria del Teatre Grec;Passatge de Martras,20;el Poble-sec;Sants-Montjuíc;08004;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/araucaria-del-teatre-grec_99400455033.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610270914360154-03-11_1.optimized.8c473c2f.jpg;Point;429684.4338;4580214.92;42.96844338;45.8021492
Corísies de Drassanes;Av Paralúlel,2;el Raval;Ciutat Vella;08001;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/corisies-de-drassanes_99400455040.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610201327370104-01-96_1.optimized.f0985c46.jpg;Point;431062.9623;4580691.093;43.10629623;45.80691093
Roure martinenc de l'Escola Lexia;Carrer d'Esteve Terradas,77;Vallcarca i els Penitents;Gràcia;08023;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/roure-martinenc-de-l-escola-lexia_99400454958.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610031317080078-06-94_1.optimized.c647fa4c.jpg;Point;428095.9786;4585132.543;42.80959786;45.851325429999996
Roure cerrioide de la Font del Racó;Avinguda del Tibidabo,74;Sant Gervasi - la Bonanova;Sarrià-Sant Gervasi;08035;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/roure-cerrioide-de-la-font-del-raco_99400454959.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610061107590025-05-93_1.optimized.471dcd78.jpg;Point;427323.9787;4585272.291;42.73239787;45.852722910000004
Pi pinyer del Palau de Pedralbes;Carrer de Jordi Girona,31;Pedralbes;Les Corts;08034;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/pi-pinyer-del-palau-de-pedralbes_99400454972.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610251046340028-04-93_1.optimized.c9890535.jpg;Point;426091.1723;4582234.323;42.609117229999995;45.82234323
Washingtònies de la casa de la Misericòrdia;Carrer d'Elisabets,8;el Raval;Ciutat Vella;08001;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/washingtonies-de-la-casa-de-la-misericordia_99400454978.html;;Point;430488.9177;4581668.185;43.04889177;45.816681849999995
Washingtònies de la Masia Can Sert;Carrer de Velàzquez,2;Vallcarca i els Penitents;Gràcia;08023;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/washingtonies-de-la-masia-can-sert_99400454980.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610201220450096-01-94_1.optimized.196c17c8.jpg;Point;428831.8532;4584405.489;42.88318532;45.84405489
Pollancre del Canad¤ del Parc de l'Estació del Nord;Parc de l'Estació del Nord,;;;08013;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/pollancre-del-canada-del-parc-de-l-estacio-del-nord_99400679820.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/201610141001320106-02-96_1.optimized.b633eb45.jpg;Point;431761.5172;4582737.476;43.17615172;45.82737476
Palmeres can¤ries de l'Antiga Torre Bayer;Carrer de Bailén,51;la Dreta de l'Eixample;Eixample;08009;https://www.barcelona.cat/ca/que-pots-fer-a-bcn/parcs-i-jardins/arbres-interes-local/palmeres-canaries-de-l-antiga-torre-bayer_99400679821.html;https://estatics-nasia.dtibcn.cat/nasia-pro/media/Palmeres_canaries_de_lAntiga_Torre_Bayer.optimized.12ab602f.jpg;Point;430925.9351;4582877.039;43.09259351;45.828770389999995
