Station;Absolute_level_MaxValue
Reservoir of Darnius Boadella (Darnius);136.33
Reservoir of Foix (Castellet i la Gornal);100.27
Reservoir of Riudecanyes;205.22
Reservoir of Sant Ponç (Clariana de Cardener);519.86
Reservoir of Sau (Vilanova de Sau);387.86
Reservoir of Siurana (Cornudella de Montsant);460.18
Reservoir of Susqueda (Osor);316.23
Reservoir of la Baells (Cercs);615.62
Reservoir of la Llosa del Cavall (Navàs);780.81
