@iot.selfLink L;@iot.id I;description C;encodingType C;metadata C;name C
https://frost.iotlab.com/sensorthings2/v1.1/Sensors(41);41;The Optics in Browning Trail Cameras Dark Ops Pro X 1080 (2023) .;application/json;"{""resolution"" : ""24 megapixels"", ""fieldOfView"": ""55 degrees"", ""detectionAngle"": ""45 degrees""}";Optics1
https://frost.iotlab.com/sensorthings2/v1.1/Sensors(42);42;The Optics in Browning Trail Cameras Dark Ops Pro X 1080 (2023) .;application/json;"{""resolution"" : ""24 megapixels"", ""fieldOfView"": ""55 degrees"", ""detectionAngle"": ""45 degrees""}";Optics2
https://frost.iotlab.com/sensorthings2/v1.1/Sensors(43);43;The Optics in Browning Trail Cameras Dark Ops Pro X 1080 (2023) .;application/json;"{""resolution"" : ""24 megapixels"", ""fieldOfView"": ""55 degrees"", ""detectionAngle"": ""45 degrees""}";Optics3
https://frost.iotlab.com/sensorthings2/v1.1/Sensors(44);44;The Optics in Browning Trail Cameras Dark Ops Pro X 1080 (2023) .;application/json;"{""resolution"" : ""24 megapixels"", ""fieldOfView"": ""55 degrees"", ""detectionAngle"": ""45 degrees""}";Optics4
