codi;lat;long;cientific_name;catalan_name;geom;district
0000082AR;41.4368561;2.1650828;Tipuana tipu;Tipuana;POINT (430247.542264412 4587590.42155082);NOU BARRIS
0000083AR;41.4369007;2.1651762;Tipuana tipu;Tipuana;POINT (430255.393313596 4587595.29949882);NOU BARRIS
0000084AR;41.4369174;2.1652187;Tipuana tipu;Tipuana;POINT (430258.956332982 4587597.12647462);NOU BARRIS
0000085AR;41.4368864;2.1652326;Tipuana tipu;Tipuana;POINT (430260.090308526 4587593.67146066);NOU BARRIS
0000086AR;41.4368517;2.1653217;Tipuana tipu;Tipuana;POINT (430267.497290198 4587589.74239836);NOU BARRIS
0000087AR;41.4368305;2.1655238;Cupressus sempervirens;Xiprer;POINT (430284.360297282 4587587.23026652);NOU BARRIS
0000088AR;41.4368302;2.1655545;Cupressus sempervirens;Xiprer;POINT (430286.92030078 4587587.168247);NOU BARRIS
0000089AR;41.4367974;2.1655729;Cupressus sempervirens;Xiprer;POINT (430288.42327537 4587583.51222993);NOU BARRIS
0000095AR;41.4368462;2.1660666;Tipuana tipu;Tipuana;POINT (430329.722693082 4587588.53259447);NOU BARRIS
0000096AR;41.4367442;2.1662775;Tipuana tipu;Tipuana;POINT (430347.229290598 4587577.03710786);NOU BARRIS
0000097AR;41.4367047;2.1661999;Tipuana tipu;Tipuana;POINT (430340.705033437 4587572.72065322);NOU BARRIS
0000098AR;41.4367278;2.166016;Tipuana tipu;Tipuana;POINT (430325.36406171 4587575.42771704);NOU BARRIS
0000099AR;41.4366048;2.1661132;Olea europaea;Olivera;POINT (430333.352179482 4587561.6938552);NOU BARRIS
0000100AR;41.4366481;2.1655666;Ceratonia siliqua;Garrofer;POINT (430287.740148609 4587566.94520942);NOU BARRIS
0000101AR;41.436711;2.1654605;Ceratonia siliqua;Garrofer;POINT (430278.942188567 4587574.00928713);NOU BARRIS
0000102AR;41.4363902;2.1649714;Tamarix africana;"Tamariu; tamariu africà";POINT (430237.73785746 4587538.79054517);NOU BARRIS
0000103AR;41.4363611;2.1651408;Tamarix africana;"Tamariu; tamariu africà";POINT (430251.852853842 4587535.42943286);NOU BARRIS
0000104AR;41.4363367;2.165191;Tamarix africana;"Tamariu; tamariu africà";POINT (430256.023839443 4587532.67939695);NOU BARRIS
0000105AR;41.4363577;2.1653105;Tamarix africana;"Tamariu; tamariu africà";POINT (430266.03387192 4587534.91432446);NOU BARRIS
0000107AR;41.4363524;2.1654484;Tamarix africana;"Tamariu; tamariu africà";POINT (430277.542884452 4587534.21423605);NOU BARRIS
0000109AR;41.4362869;2.1649293;Pinus halepensis;Pi blanc;POINT (430234.110765126 4587527.36255497);NOU BARRIS
0000110AR;41.4362957;2.1649702;Pinus halepensis;Pi blanc;POINT (430237.533777581 4587528.30453046);NOU BARRIS
0000111AR;41.4363022;2.1650187;Pinus halepensis;Pi blanc;POINT (430241.595789 4587528.97950068);NOU BARRIS
0000112AR;41.436274;2.165012;Pinus halepensis;Pi blanc;POINT (430241.000764419 4587525.86150036);NOU BARRIS
0000113AR;41.4362128;2.1654596;Pinus halepensis;Pi blanc;POINT (430278.330768006 4587518.70620603);NOU BARRIS
0000114AR;41.4361698;2.1651746;Pinus halepensis;Pi blanc;POINT (430254.477696555 4587514.16337997);NOU BARRIS
0000115AR;41.4361484;2.1652868;Pinus halepensis;Pi blanc;POINT (430263.82769231 4587511.6933052);NOU BARRIS
0000116AR;41.436144;2.1653138;Pinus halepensis;Pi blanc;POINT (430266.078691945 4587511.18528733);NOU BARRIS
0000117AR;41.4363685;2.1657208;Tipuana tipu;Tipuana;POINT (430300.320931686 4587535.78506566);NOU BARRIS
0000118AR;41.436381;2.1658102;Tipuana tipu;Tipuana;POINT (430307.800953215 4587537.09401093);NOU BARRIS
0000120AR;41.4363366;2.1659344;Tipuana tipu;Tipuana;POINT (430318.12893107 4587532.06492477);NOU BARRIS
0000121AR;41.4362842;2.1659947;Tipuana tipu;Tipuana;POINT (430323.109894299 4587526.20087788);NOU BARRIS
0000122AR;41.43639;2.1660392;Tipuana tipu;Tipuana;POINT (430326.941989075 4587537.90886696);NOU BARRIS
0000123AR;41.4363861;2.1660818;Tipuana tipu;Tipuana;POINT (430330.497991022 4587537.43883925);NOU BARRIS
0000124AR;41.4363516;2.1661457;Tipuana tipu;Tipuana;POINT (430335.799969855 4587533.56579302);NOU BARRIS
0000125AR;41.4362501;2.16611;Tipuana tipu;Tipuana;POINT (430332.707879747 4587522.32179905);NOU BARRIS
0000126AR;41.4362936;2.1661959;Tipuana tipu;Tipuana;POINT (430339.929927106 4587527.08775164);NOU BARRIS
0000127AR;41.4363002;2.1662382;Tipuana tipu;Tipuana;POINT (430343.469937883 4587527.78472586);NOU BARRIS
0000129AR;41.4374433;2.166102;Quercus ilex;Alzina;POINT (430333.313885814 4587654.79299984);NOU BARRIS
0000130AR;41.4373997;2.1661038;Quercus ilex;Alzina;POINT (430333.41684928 4587649.95699156);NOU BARRIS
0000135AR;41.4374091;2.1663594;Quercus ilex;Alzina;POINT (430354.782888741 4587650.79183073);NOU BARRIS
0000136AR;41.4373163;2.1662175;Quercus ilex;Alzina;POINT (430342.83079294 4587640.60790563);NOU BARRIS
0000137AR;41.4372809;2.1662701;Quercus ilex;Alzina;POINT (430347.190769524 4587636.63086638);NOU BARRIS
0000140AR;41.4373882;2.1664704;Quercus ilex;Alzina;POINT (430364.038884805 4587648.38175677);NOU BARRIS
0000141AR;41.4372311;2.1662898;Quercus ilex;Alzina;POINT (430348.781729933 4587631.08784572);NOU BARRIS
0000142AR;41.4372821;2.1664632;Quercus ilex;Alzina;POINT (430363.31779436 4587636.60874399);NOU BARRIS
0000144AR;41.4372017;2.1663716;Tipuana tipu;Tipuana;POINT (430355.582715187 4587627.75478895);NOU BARRIS
0000147AR;41.4371934;2.1664538;Quercus ilex;Alzina;POINT (430362.443718336 4587626.76773536);NOU BARRIS
0000149AR;41.437145;2.1661067;Tipuana tipu;Tipuana;POINT (430333.386634613 4587621.67094793);NOU BARRIS
0000150AR;41.4371113;2.1661431;Tipuana tipu;Tipuana;POINT (430336.39861067 4587617.89991923);NOU BARRIS
0000152AR;41.4370729;2.1663578;Tipuana tipu;Tipuana;POINT (430354.290604774 4587613.4667766);NOU BARRIS
0000153AR;41.4370209;2.1664633;Magnolia grandiflora;Magnòlia;POINT (430363.047029467 4587607.60753624);NOU BARRIS
0000154AR;41.4369848;2.1664453;Magnolia grandiflora;Magnòlia;POINT (430361.507028587 4587603.617704);NOU BARRIS
0000155AR;41.4373591;2.1666639;Populus nigra 'Italica';Pollancre gavatx;POINT (430380.171972171 4587644.99904125);NOU BARRIS
0000158AR;41.4373417;2.1667459;Populus nigra 'Italica';Pollancre gavatx;POINT (430386.999999951 4587642.99999993);NOU BARRIS
0000159AR;41.4373701;2.1668118;Populus nigra 'Italica';Pollancre gavatx;POINT (430392.536378751 4587646.10293005);NOU BARRIS
0000160AR;41.4372719;2.16665;Tipuana tipu;Tipuana;POINT (430378.916808809 4587635.32562364);NOU BARRIS
