dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2025-03-17T00:00:00.000;Embassament de la Baells (Cercs);622.45;76.8;84.05
2025-03-17T00:00:00.000;Embassament de Riudecanyes;208.4;34.4;1.83
2025-03-16T00:00:00.000;Embassament de la Llosa del Cavall (Navès);784.83;42.1;33.72
2025-03-16T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.53;100.7;3.77
2025-03-16T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);462.88;14;1.71
2025-03-16T00:00:00.000;Embassament de la Baells (Cercs);622.08;75.8;82.92
2025-03-16T00:00:00.000;Embassament de Susqueda (Osor);320.27;41.7;97.06
2025-03-16T00:00:00.000;Embassament de Sau (Vilanova de Sau);400.66;35.2;58.13
2025-03-16T00:00:00.000;Embassament de Darnius Boadella (Darnius);144.17;36;22
2025-03-16T00:00:00.000;Embassament de Riudecanyes;208.13;33.4;1.78
2025-03-16T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);522.69;62.7;15.28
2025-03-15T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);462.48;13.3;1.63
2025-03-15T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.54;100.9;3.77
2025-03-15T00:00:00.000;Embassament de la Baells (Cercs);621.61;74.5;81.52
2025-03-15T00:00:00.000;Embassament de Riudecanyes;207.73;31.9;1.7
2025-03-15T00:00:00.000;Embassament de Darnius Boadella (Darnius);144.02;35.6;21.73
2025-03-15T00:00:00.000;Embassament de la Llosa del Cavall (Navès);784.47;41.5;33.19
2025-03-15T00:00:00.000;Embassament de Sau (Vilanova de Sau);399.65;33.3;55
2025-03-15T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);522.48;61.8;15.06
2025-03-15T00:00:00.000;Embassament de Susqueda (Osor);320.22;41.6;96.9
2025-03-14T00:00:00.000;Embassament de la Llosa del Cavall (Navès);784.05;40.7;32.57
2025-03-14T00:00:00.000;Embassament de Foix (Castellet i la Gornal);100.51;100.2;3.75
2025-03-14T00:00:00.000;Embassament de Darnius Boadella (Darnius);143.81;35;21.36
2025-03-14T00:00:00.000;Embassament de Sant Ponç (Clariana de Cardener);522.25;60.8;14.82
2025-03-14T00:00:00.000;Embassament de la Baells (Cercs);621.07;73;79.9
2025-03-14T00:00:00.000;Embassament de Siurana (Cornudella de Montsant);461.83;12.2;1.49
2025-03-14T00:00:00.000;Embassament de Riudecanyes;207.04;29.4;1.57
2025-03-14T00:00:00.000;Embassament de Susqueda (Osor);320.15;41.5;96.68
2025-03-14T00:00:00.000;Embassament de Sau (Vilanova de Sau);398.5;31.2;51.6
