dia;estaci;nivell_absolut;percentatge_volum_embassat;volum_embassat
2024-06-03T00:00:00.000;Embassament de la Baells (Cercs);609.57;46.3;50.64
2024-06-02T00:00:00.000;Embassament de la Baells (Cercs);609.43;46;50.34
2024-06-02T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.47;68.9;2.58
2024-06-02T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.76;22.4;13.68
2024-06-01T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.73;22.3;13.65
2024-06-01T00:00:00.000;Embassament de la Baells (Cercs);609.24;45.6;49.94
2024-06-01T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.23;65.6;2.45
2024-05-31T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.69;22.3;13.6
2024-05-31T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.21;65.3;2.44
2024-05-31T00:00:00.000;Embassament de la Baells (Cercs);608.96;45.1;49.35
2024-05-30T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.64;22.1;13.53
2024-05-30T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.25;65.8;2.46
2024-05-30T00:00:00.000;Embassament de la Baells (Cercs);608.55;44.3;48.5
2024-05-29T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.58;22;13.42
2024-05-29T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.27;66.2;2.47
2024-05-29T00:00:00.000;Embassament de la Baells (Cercs);608.46;44.1;48.22
2024-05-28T00:00:00.000;Embassament de la Baells (Cercs);608.37;44;48.13
2024-05-28T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.51;21.9;13.37
2024-05-28T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.31;66.6;2.49
2024-05-27T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.32;66.8;2.5
2024-05-27T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.42;21.7;13.26
2024-05-27T00:00:00.000;Embassament de la Baells (Cercs);608.26;43.8;47.9
2024-05-26T00:00:00.000;Embassament de la Baells (Cercs);608.13;43.5;47.63
2024-05-26T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.28;21.4;13.08
2024-05-26T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.33;66.9;2.5
2024-05-25T00:00:00.000;Embassament de Darnius Boadella (Darnius);138.06;21;12.81
2024-05-25T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.34;67.1;2.51
2024-05-25T00:00:00.000;Embassament de la Baells (Cercs);607.97;43.2;47.33
2024-05-24T00:00:00.000;Embassament de Darnius Boadella (Darnius);137.79;20.4;12.48
2024-05-24T00:00:00.000;Embassament de la Baells (Cercs);607.83;43;47.05
2024-05-24T00:00:00.000;Embassament de Foix (Castellet i la Gornal);98.35;67.2;2.51
