@iot.selfLink L;description C;name C;observationType C;observedArea G;phenomenonTime C;unitOfMeasurement O;resultTime C
35;Pictures with an animal inside;Pictures;http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement;"{""type"":""Point"",""coordinates"":[2.942919,42.47697]}";2024-07-20T09:00:00Z;"{""name"":null,""symbol"":null,""definition"":null}";2024-07-20T09:00:00Z
36;Pictures with an animal inside;Pictures;http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement;"{""type"":""Point"",""coordinates"":[2.942919,42.47697]}";2024-07-20T09:00:00Z;"{""name"":null,""symbol"":null,""definition"":null}";2024-07-20T09:00:00Z
37;Pictures with an animal inside;Pictures;http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement;"{""type"":""Point"",""coordinates"":[2.942919,42.47697]}";2024-07-20T09:00:00Z;"{""name"":null,""symbol"":null,""definition"":null}";2024-07-20T09:00:00Z
38;Pictures with an animal inside;Pictures;http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement;"{""type"":""Point"",""coordinates"":[2.942919,42.47697]}";2024-07-20T09:00:00Z;"{""name"":null,""symbol"":null,""definition"":null}";2024-07-20T09:00:00Z
39;Pictures with an animal inside;Pictures;http://www.opengis.net/def/observationType/OGC-OM/2.0/OM_Measurement;"{""type"":""Point"",""coordinates"":[2.942919,42.47697]}";2024-07-20T09:00:00Z;"{""name"":null,""symbol"":null,""definition"":null}";2024-07-20T09:00:00Z
